gene_label	gene_name	AGI	ERCnet_ID	HOG_ID	Duplicated	in_orthofinder	in_filtered_dataset	in_network 	dropped_reason notes 
Beta7_AT1G56450	Beta7	AT1G56450	ARAT_AT1G56450.1_PACid_19658067	HOG0008000	No	Yes		No		
RPN10_AT4G38630	RPN10	AT4G38630	ARAT_AT4G38630.1_PACid_19646282	HOG0005148	No	Yes		Yes		
RPN11_AT5G23540	RPN11	AT5G23540	ARAT_AT5G23540.1_PACid_19666107	HOG0004140	No	Yes		Yes		
RPN12_AT1G64520	RPN12	AT1G64520	ARAT_AT1G64520.1_PACid_19658060	HOG0007608	Yes	Yes		No		
RPN12_AT5G42040	RPN12	AT5G42040	ARAT_AT5G42040.1_PACid_19665799	HOG0007608	Yes	Yes		No		
RPN1_AT2G20580	RPN1	AT2G20580	ARAT_AT2G20580.1_PACid_19641906	HOG0005779	Yes	Yes		Yes		
RPN1_AT4G28470	RPN1	AT4G28470	ARAT_AT4G28470.1_PACid_19645981	HOG0005779	Yes	Yes		Yes		
RPN2_AT1G04810	RPN2	AT1G04810	ARAT_AT1G04810.1_PACid_19651161	HOG0004794	Yes	Yes		No		
RPN2_AT2G32730	RPN2	AT2G32730	ARAT_AT2G32730.1_PACid_19639179	HOG0004794	Yes	Yes		No		
RPN3_AT1G20200	RPN3	AT1G20200	ARAT_AT1G20200.1_PACid_19651422	HOG0004303	Yes	Yes		No		
RPN3_AT1G75990	RPN3	AT1G75990	ARAT_AT1G75990.1_PACid_19652198	HOG0004303	Yes	Yes		No		
RPN5_AT5G09900	RPN5	AT5G09900	ARAT_AT5G09900.3_PACid_19665897	HOG0005231	Yes	Yes		Yes		
RPN5_AT5G64760	RPN5	AT5G64760	ARAT_AT5G64760.1_PACid_19668432	HOG0005231	Yes	Yes		Yes		
RPN6_AT1G29150	RPN6	AT1G29150	ARAT_AT1G29150.1_PACid_19650043	HOG0005471	No	Yes		No		
RPN7_AT4G24820	RPN7	AT4G24820	ARAT_AT4G24820.1_PACid_19647825	HOG0003735	No	Yes		No		
RPN8_AT3G11270	RPN8	AT3G11270	ARAT_AT3G11270.1_PACid_19658597	HOG0005831	Yes	Yes		No		
RPN8_AT5G05780	RPN8	AT5G05780	ARAT_AT5G05780.1_PACid_19670513	HOG0005831	Yes	Yes		No		
RPN9_AT4G19006	RPN9	AT4G19006	ARAT_AT4G19006.1_PACid_19643829	HOG0005975	Yes	Yes		No		
RPN9_AT5G45620	RPN9	AT5G45620	ARAT_AT5G45620.1_PACid_19668970	HOG0005975	Yes	Yes		No		
RPT1_AT1G53750	RPT1	AT1G53750	ARAT_AT1G53750.1_PACid_19657550	HOG0004803	No	Yes		No		
RPT1_AT1G53780	RPT1	AT1G53780	ARAT_AT1G53780.2_PACid_19652140	NOT FOUND	N/A	No		No		
RPT2_AT2G20140	RPT2	AT2G20140	ARAT_AT2G20140.1_PACid_19639123	HOG0003968	Yes	Yes		No		
RPT2_AT4G29040	RPT2	AT4G29040	ARAT_AT4G29040.1_PACid_19646587	HOG0003968	Yes	Yes		No		
RPT3_AT5G58290	RPT3	AT5G58290	ARAT_AT5G58290.1_PACid_19666361	HOG0004326	No	Yes		No		
RPT4_AT1G45000	RPT4	AT1G45000	ARAT_AT1G45000.1_PACid_19650223	HOG0004671	Yes	Yes		No		
RPT4_AT5G43010	RPT4	AT5G43010	ARAT_AT5G43010.1_PACid_19670324	HOG0004671	Yes	Yes		No		
RPT5_AT1G09100	RPT5	AT1G09100	ARAT_AT1G09100.1_PACid_19653012	HOG0004502	Yes	Yes		No		
RPT5_AT3G05530	RPT5	AT3G05530	ARAT_AT3G05530.1_PACid_19663123	HOG0004502	Yes	Yes		No		
RPT6_AT5G19990	RPT6	AT5G19990	ARAT_AT5G19990.1_PACid_19667687	HOG0004892	Yes	Yes		Yes		
RPT6_AT5G20000	RPT6	AT5G20000	ARAT_AT5G20000.1_PACid_19669291	HOG0004892	Yes	Yes		Yes		
